signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,2,0.6,0.5,0.55,0.1,74.6917,66.3749,61.1292,5.2456,13.5624,38.2576,26.3958,0.4125,-1.4823,-1.0758,-0.5359,3.5
1.0,2,0.6,0.5,0.55,0.1,67.3306,57.3448,48.4507,8.8942,18.8799,39.0865,20.5622,1.9659,-1.1722,0.7706,0.393,2.0
1.0,3,0.4,0.4,0.4,0.0,37.2113,43.8391,41.9158,1.9232,-4.7045,49.5219,31.1361,-1.0348,-0.1428,-1.1761,-0.5886,1.5
1.0,1,0.6,0.4,0.5,0.2,70.8404,55.3957,39.6643,15.7315,31.1762,55.195,33.8948,-0.6559,-1.689,-2.3338,-1.1706,0.5
1.0,2,0.4,0.4,0.4,0.0,22.8411,32.057,33.1512,-1.0942,-10.3101,53.9595,38.7244,-3.358,-3.4945,-6.7352,-3.4067,0.0
1.0,3,0.4,0.4,0.4,0.0,67.2749,35.1621,38.0404,-2.8783,29.2345,57.9392,30.2827,-4.6658,-5.4054,-9.819,-4.9936,0.5
1.0,1,0.6,0.5,0.55,0.1,67.9658,61.5508,45.8949,15.656,22.0709,46.9178,23.4345,-5.5817,-2.3072,-7.7602,-3.923,1.5
1.0,2,0.6,0.5,0.55,0.1,61.7665,51.4123,43.672,7.7404,18.0945,56.6507,32.416,-3.7023,-5.2731,-8.7801,-4.4551,0.0
1.0,2,0.6,0.5,0.55,0.1,37.9297,71.0073,47.4607,23.5465,-9.5311,43.0983,20.131,-4.5155,-1.0502,-5.5183,-2.7749,1.0
1.0,2,0.6,0.6,0.6,0.0,68.6114,60.6274,62.7743,-2.1469,5.837,37.5433,18.8657,-4.7229,-1.3984,-6.0552,-3.0496,0.5
1.0,3,0.4,0.3,0.35,0.1,54.6234,47.4093,34.9236,12.4857,19.6998,51.113,34.8821,-1.5985,-1.3752,-2.9517,-1.4832,2.0
1.0,1,0.4,0.3,0.35,0.1,52.3308,27.3822,20.793,6.5892,31.5378,36.0792,18.8785,-0.9918,-1.9109,-2.8837,-1.4482,1.0
1.0,3,0.4,0.3,0.35,0.1,28.0583,39.3562,22.2254,17.1308,5.8329,37.4846,20.9058,-3.0278,-1.8171,-4.7898,-2.4133,0.0
1.0,3,0.4,0.4,0.4,0.0,74.2328,37.5914,33.3629,4.2284,40.8698,36.5492,18.5084,-3.4149,-1.3781,-4.7459,-2.3887,0.5
1.0,3,0.4,0.4,0.4,0.0,53.8483,54.9677,47.3305,7.6372,6.5178,51.0796,38.5977,-2.9808,-0.6504,-3.6118,-1.8124,3.0
1.0,2,0.6,0.5,0.55,0.1,77.4432,68.1932,55.4451,12.7481,21.9982,46.5224,31.2135,1.8822,-0.768,1.0997,0.5547,2.0
1.0,2,0.6,0.5,0.55,0.1,63.6944,53.4632,48.2805,5.1827,15.4139,43.5708,23.347,-2.3406,-4.5429,-6.7772,-3.424,0.5
1.0,2,0.4,0.5,0.45,-0.1,31.7969,40.3775,50.453,-10.0755,-18.656,42.6391,22.8106,-4.6406,-1.3242,-5.9034,-2.9722,0.0
1.0,2,0.4,0.4,0.4,0.0,24.1204,32.9457,36.4909,-3.5452,-12.3705,37.218,22.0971,-3.3959,-0.6908,-4.0633,-2.0395,0.0
